date,log_CI_cells_mL,bloom
2022-01-03,2.1690335119802957,0
2022-01-10,2.1690335119802957,0
2022-01-17,2.1690335119802957,0
2022-01-24,2.1690335119802957,0
2022-01-31,2.1690335119802957,0
2022-02-07,2.1690335119802957,0
2022-02-14,2.1690335119802957,0
2022-02-21,2.1690335119802957,0
2022-02-28,2.1690335119802957,0
2022-03-07,2.1690335119802957,0
2022-03-14,2.1690335119802957,0
2022-03-21,3.109146346465592,0
2022-03-28,3.109146346465592,0
2022-04-04,3.297168913362652,0
2022-04-11,6.311818423004055,0
2022-04-18,6.133650466593661,0
2022-04-25,7.250903601285285,0
2022-05-02,7.470939924034962,0
2022-05-09,8.436894777113604,0
2022-05-16,8.992417139960676,1
2022-05-23,9.017501706133858,1
2022-05-30,9.14472803960956,1
2022-06-06,9.656349970210758,1
2022-06-13,9.214077819208407,1
2022-06-20,9.035905372702246,1
2022-06-27,8.934852512635823,1
2022-07-04,9.068731388757048,1
2022-07-11,9.048751075253062,1
2022-07-18,8.95428837252176,1
2022-07-25,8.870754441894396,1
2022-08-01,8.768811173306792,1
2022-08-08,8.772588320281997,1
2022-08-15,8.76045721310487,1
2022-08-22,8.756209340605727,1
2022-08-29,8.77263936280869,1
2022-09-05,8.767716594678841,1
2022-09-12,8.757695245271648,1
2022-09-19,8.754899249087298,1
2022-09-26,8.753350959110975,1
2022-10-03,8.760820182183569,1
2022-10-10,8.764897040405248,1
2022-10-17,8.786573972595603,1
2022-10-24,8.764897912927072,1
2022-10-31,8.806235553877357,1
2022-11-07,8.689597661976595,0
2022-11-14,6.534059899795421,0
2022-11-21,4.049259180950889,0
2022-11-28,3.109146346465592,0
2022-12-05,3.297168913362652,0
2022-12-12,2.1690335119802957,0
2022-12-19,2.1690335119802957,0
2022-12-26,2.1690335119802957,0
