date,usgs_site,lat,lon,Discharge_mean,Water_Temp_mean,year,Discharge_cumsum,Water_Temp_cumsum
2022-01-01,14178000,44.70694444,-122.10000000,848.0,3.5,2022,848.0,3.5
2022-01-02,14178000,44.70694444,-122.10000000,817.0,3.3,2022,1665.0,6.8
2022-01-03,14178000,44.70694444,-122.10000000,995.0,3.7,2022,2660.0,10.5
2022-01-04,14178000,44.70694444,-122.10000000,929.0,3.2,2022,3589.0,13.7
2022-01-05,14178000,44.70694444,-122.10000000,1110.0,3.6,2022,4699.0,17.3
2022-01-06,14178000,44.70694444,-122.10000000,2020.0,3.9,2022,6719.0,21.2
2022-01-07,14178000,44.70694444,-122.10000000,2740.0,4.2,2022,9459.0,25.4
2022-01-08,14178000,44.70694444,-122.10000000,2260.0,4.5,2022,11719.0,29.9
2022-01-09,14178000,44.70694444,-122.10000000,1740.0,4.7,2022,13459.0,34.6
2022-01-10,14178000,44.70694444,-122.10000000,1460.0,4.8,2022,14919.0,39.4
2022-01-11,14178000,44.70694444,-122.10000000,1320.0,5.0,2022,16239.0,44.4
2022-01-12,14178000,44.70694444,-122.10000000,1290.0,5.2,2022,17529.0,49.6
2022-01-13,14178000,44.70694444,-122.10000000,1330.0,5.1,2022,18859.0,54.7
2022-01-14,14178000,44.70694444,-122.10000000,1420.0,5.3,2022,20279.0,60.0
2022-01-15,14178000,44.70694444,-122.10000000,1340.0,5.2,2022,21619.0,65.2
2022-01-16,14178000,44.70694444,-122.10000000,1260.0,5.1,2022,22879.0,70.3
2022-01-17,14178000,44.70694444,-122.10000000,1230.0,5.1,2022,24109.0,75.4
2022-01-18,14178000,44.70694444,-122.10000000,1200.0,5.1,2022,25309.0,80.5
2022-01-19,14178000,44.70694444,-122.10000000,1180.0,5.2,2022,26489.0,85.7
2022-01-20,14178000,44.70694444,-122.10000000,1500.0,5.4,2022,27989.0,91.1
2022-01-21,14178000,44.70694444,-122.10000000,1670.0,5.5,2022,29659.0,96.6
2022-01-22,14178000,44.70694444,-122.10000000,1480.0,5.4,2022,31139.0,102.0
2022-01-23,14178000,44.70694444,-122.10000000,1350.0,5.2,2022,32489.0,107.2
2022-01-24,14178000,44.70694444,-122.10000000,1270.0,5.0,2022,33759.0,112.2
2022-01-25,14178000,44.70694444,-122.10000000,1200.0,4.8,2022,34959.0,117.0
2022-01-26,14178000,44.70694444,-122.10000000,1140.0,4.6,2022,36099.0,121.6
2022-01-27,14178000,44.70694444,-122.10000000,1080.0,4.4,2022,37179.0,126.0
2022-01-28,14178000,44.70694444,-122.10000000,1030.0,4.4,2022,38209.0,130.4
2022-01-29,14178000,44.70694444,-122.10000000,988.0,4.4,2022,39197.0,134.8
2022-01-30,14178000,44.70694444,-122.10000000,968.0,4.4,2022,40165.0,139.2
2022-01-31,14178000,44.70694444,-122.10000000,1030.0,4.7,2022,41195.0,143.9
2022-02-01,14178000,44.70694444,-122.10000000,982.0,4.7,2022,42177.0,148.6
2022-02-02,14178000,44.70694444,-122.10000000,945.0,4.7,2022,43122.0,153.3
2022-02-03,14178000,44.70694444,-122.10000000,919.0,5.0,2022,44041.0,158.3
2022-02-04,14178000,44.70694444,-122.10000000,893.0,5.1,2022,44934.0,163.4
2022-02-05,14178000,44.70694444,-122.10000000,871.0,5.2,2022,45805.0,168.6
2022-02-06,14178000,44.70694444,-122.10000000,852.0,5.0,2022,46657.0,173.6
2022-02-07,14178000,44.70694444,-122.10000000,843.0,4.8,2022,47500.0,178.4
2022-02-08,14178000,44.70694444,-122.10000000,840.0,4.9,2022,48340.0,183.3
2022-02-09,14178000,44.70694444,-122.10000000,839.0,4.9,2022,49179.0,188.2
2022-02-10,14178000,44.70694444,-122.10000000,879.0,5.1,2022,50058.0,193.3
2022-02-11,14178000,44.70694444,-122.10000000,916.0,4.9,2022,50974.0,198.2
2022-02-12,14178000,44.70694444,-122.10000000,928.0,4.9,2022,51902.0,203.1
2022-02-13,14178000,44.70694444,-122.10000000,929.0,4.9,2022,52831.0,208.0
2022-02-14,14178000,44.70694444,-122.10000000,987.0,5.1,2022,53818.0,213.1
2022-02-15,14178000,44.70694444,-122.10000000,990.0,5.0,2022,54808.0,218.1
2022-02-16,14178000,44.70694444,-122.10000000,952.0,5.3,2022,55760.0,223.4
