t,Blowout,Heater,Log Boom
5/17/2016 11:04,,,28222.85477
5/17/2016 11:54,,1866.123023,
5/17/2016 12:32,344946.0027,,
5/24/2016 9:40,,,109051.5749
5/24/2016 10:20,,577717.3572,
6/7/2016 11:22,,,448411.8842
6/7/2016 11:31,,,253.7463318
6/14/2016 10:17,,,10181.40504
6/14/2016 10:31,,2015.918198,
6/21/2016 13:04,,,1363.463623
6/21/2016 13:14,,,8314.542611
6/28/2016 12:57,,,4189.16344
6/28/2016 13:05,,,260.1262395
6/28/2016 13:40,,1040.504958,
7/5/2016 11:49,,,1822.768649
7/5/2016 12:24,,4356.381467,
7/12/2016 11:55,,2915.42452,
7/18/2016 13:10,,9733.78984,
7/26/2016 10:39,,,40.57927448
7/26/2016 11:41,,1457.71226,
8/2/2016 12:23,,289.5318144,
8/23/2016 12:07,,48382.03674,
8/23/2016 12:13,,416.2019832,
8/29/2016 12:31,,3303.938348,
9/6/2016 11:18,,31851.50752,
5/9/2017 12:29,,,37160.09211
5/9/2017 12:50,,8043.55572,
5/31/2017 11:30,,,1060.87238
6/27/2017 10:55,,,4354.045491
7/11/2017 11:55,,784383.8098,
7/18/2017 12:35,,,5828.490199
7/25/2017 11:55,,1171929.65,
8/1/2017 8:45,52869.00679,,
8/1/2017 9:20,,3648750.403,
8/1/2017 9:55,,,60326.68621
8/3/2017 10:10,,,363474.4217
8/3/2017 11:05,114683.7153,,
8/8/2017 11:43,,2625827.337,
8/8/2017 12:15,3310.278709,,
8/10/2017 10:20,15447.96731,,
8/10/2017 10:45,,5611643.351,
8/15/2017 11:20,,133444.9537,
8/24/2017 11:10,,,1755251.025
8/24/2017 11:32,,115716.9019,
8/24/2017 11:53,50809.17535,,
8/29/2017 10:51,,,1368451.684
8/29/2017 11:15,,113899.5802,
5/8/2018 11:50,5017005.32,,
5/10/2018 11:20,831288.1973,,
5/10/2018 11:35,,93681.76321,
5/14/2018 10:35,,,101429.3917
5/14/2018 11:00,,98885544.67,
5/14/2018 11:30,30767678.82,,
5/17/2018 9:42,,,285660.4748
5/17/2018 9:50,,4067388.922,
5/17/2018 10:10,4193321.372,,
5/21/2018 10:40,,50281.42591,
5/21/2018 11:00,2761201.945,,
5/23/2018 9:55,19546.40762,,
5/23/2018 10:20,,11469.32623,
5/27/2018 10:00,,,1227645.45
5/27/2018 10:10,,815693.2475,
5/27/2018 10:35,1915724.011,,
5/29/2018 10:40,,,64099.33087
5/30/2018 9:55,,,138060.0973
5/31/2018 10:30,,,1143537.036
6/2/2018 10:40,,3395700.779,
6/3/2018 10:55,,,166658.2603
6/3/2018 11:10,,65208.20407,
6/3/2018 11:30,36302.72318,,
6/4/2018 10:40,,,3916222.725
6/4/2018 10:50,,,191461.3317
6/4/2018 11:00,,3587539.746,
6/4/2018 11:30,3214435.613,,
6/6/2018 10:00,,,2477794.118
6/6/2018 10:30,,36141253.04,
6/6/2018 10:55,195615.3251,,
6/7/2018 10:00,758825.7445,,
6/7/2018 11:10,,,604217.2204
6/7/2018 11:55,,2923656.075,
6/8/2018 10:20,,,2251716.175
6/8/2018 10:25,,,4499.526986
6/8/2018 10:40,,1504500.879,
6/8/2018 11:00,1411913.475,,
6/9/2018 9:00,,,1903284.244
6/9/2018 9:20,,1163809.247,
6/9/2018 9:40,1676258.509,,
6/12/2018 10:25,,,4342307.757
6/12/2018 10:35,,,4756.993108
6/12/2018 10:55,,3305068.196,
6/12/2018 11:30,1956153.251,,
6/15/2018 10:50,,,1082052.339
6/15/2018 10:55,,,208.4249558
6/15/2018 11:10,,2080395.417,
6/17/2018 14:25,,,755674.337
6/17/2018 14:55,,5814302.382,
6/17/2018 15:20,370860.4143,,
6/18/2018 10:30,,,2900242.658
6/18/2018 10:35,,,122.6029152
6/18/2018 10:50,,3592272.781,
6/18/2018 11:05,2337515.02,,
6/19/2018 11:45,,,504722.7848
6/19/2018 12:15,,162551.1349,
6/19/2018 12:45,2231072.086,,
6/21/2018 10:20,,,2650499.54
6/21/2018 10:30,,,1422.193816
6/21/2018 11:00,,127750.4147,
6/21/2018 11:30,115296.6169,,
6/23/2018 9:40,,1486374.362,
6/23/2018 10:00,1485619.091,,
6/24/2018 12:20,,17121099.16,
6/24/2018 12:35,2150006.276,,
6/25/2018 10:40,,,2816860.682
6/25/2018 10:50,,,4699.46727
6/25/2018 11:10,,1203786.616,
6/25/2018 11:30,1050330.935,,
6/27/2018 11:00,,,1824433.897
6/27/2018 11:05,,,9022.977158
6/27/2018 11:18,,512442.4529,
6/27/2018 11:40,510248.0903,,
6/28/2018 10:10,,,3230606.276
6/28/2018 10:30,,934662.6762,
6/28/2018 10:50,269217.1897,,
6/29/2018 10:15,,,2058366.664
6/29/2018 10:20,,,5124.801854
6/29/2018 10:35,,774147.9011,
6/29/2018 10:55,163453.2937,,
7/2/2018 9:50,,,3580994.06
7/2/2018 9:55,,,72183.81726
7/2/2018 10:00,,318351.289,
7/2/2018 10:15,2458408.816,,
7/3/2018 10:05,,,4094175.885
7/3/2018 10:10,,,4462.746112
7/3/2018 10:25,,1020060.837,
7/3/2018 10:40,54730.96713,,
7/5/2018 9:40,,,6446488.929
7/5/2018 9:45,,,49626.37437
7/5/2018 9:55,,4513147.215,
7/5/2018 10:05,2376990.545,,
7/6/2018 9:50,,,3090369.677
7/6/2018 9:55,,,4475.006403
7/9/2018 10:15,,,4077257.803
7/9/2018 10:20,,,1005.343904
7/9/2018 10:30,,82662.03303,
7/9/2018 10:50,711969.2914,,
7/13/2018 10:30,,,699280.7298
7/13/2018 10:35,,,93613.38801
7/13/2018 11:00,,2343651.971,
7/13/2018 11:20,2036212.033,,
7/16/2018 9:50,,,4347632.068
7/16/2018 9:55,,,39563.96072
7/16/2018 10:15,,1159386.219,
7/16/2018 10:35,514591.666,,
7/18/2018 10:05,,,1499130.059
7/18/2018 10:10,,,42859.1415
7/18/2018 10:30,,1776398.628,
7/18/2018 10:45,289017.2371,,
7/24/2018 9:55,,,541378.6295
7/24/2018 10:00,,,344996.1855
7/24/2018 10:45,,338361.6434,
7/24/2018 11:40,357159.5125,,
7/26/2018 9:55,,,108968.8625
7/26/2018 10:25,,1179791.451,
7/26/2018 10:45,254425.0364,,
7/31/2018 10:45,,,118731.6836
7/31/2018 11:15,,119421.7565,
7/31/2018 11:40,448329.1775,,
8/2/2018 9:40,321913.508,,
8/2/2018 10:20,,68418.71466,
8/2/2018 10:30,,965325.8651,
8/2/2018 11:00,,,84590.41086
8/7/2018 10:05,,,84590.41086
8/7/2018 10:30,,316325.486,
8/7/2018 10:50,350445.9878,,
8/9/2018 10:00,,,84590.41086
8/9/2018 10:25,,238.5734247,
8/21/2018 10:55,,123.3789545,
8/29/2018 11:05,,94.86363765,
8/29/2018 11:30,188.495625,,
9/26/2018 11:45,,1285.679489,
3/5/2019 12:00,24672.20317,,
4/17/2019 11:10,148.5221332,,
4/23/2019 11:05,,134.8632067,
5/7/2019 10:50,,28.76780057,
5/14/2019 10:25,,6130.145758,
5/14/2019 11:20,1395741.779,,
5/21/2019 9:55,,,4009.115326
5/21/2019 10:30,,17593.51833,
5/21/2019 11:30,23592.30382,,
5/28/2019 9:30,,,1912.605476
5/30/2019 9:45,,,135344.6574
5/30/2019 10:15,,37595.73816,
5/30/2019 10:55,105692.4702,,
6/3/2019 9:00,,,48495.58309
