t,Blowout,Heater,Log Boom
4/12/2016 10:16,,,0.002
4/12/2016 10:58,,0.002,
4/26/2016 11:11,,,-0.003
4/26/2016 12:02,,-0.003,
5/3/2016 11:23,,,-0.001
5/3/2016 12:10,,0.003,
5/9/2016 11:10,,,0.001
5/9/2016 12:10,,0.001,
5/17/2016 11:04,,,0.001
5/17/2016 11:54,,0.001,
5/17/2016 12:32,0,,
5/24/2016 9:40,,,-0.001
5/24/2016 10:20,,-0.003,
5/31/2016 11:52,,,0.003
5/31/2016 12:32,,0.001,
6/7/2016 11:22,,,0.004
6/7/2016 12:15,,0.004,
6/7/2016 12:23,,0.004,
6/14/2016 10:17,,,-0.005
6/14/2016 10:51,,-0.005,
6/21/2016 13:04,,,0.004
6/21/2016 13:47,,0.008,
6/28/2016 12:57,,,0.003
6/28/2016 13:40,,0.003,
7/5/2016 11:49,,,-0.001
7/5/2016 12:24,,0.006,
7/12/2016 11:01,,,0.006
7/12/2016 11:55,,0.007,
7/18/2016 13:10,,0.009,
7/26/2016 11:41,,0.016,
8/2/2016 12:23,,0.008,
8/9/2016 0:00,,0.003,
8/17/2016 11:18,,0.005,
8/23/2016 12:07,,0.003,
8/23/2016 12:13,,0.004,
8/29/2016 12:31,,0.001,
9/6/2016 11:18,,-0.002,
9/13/2016 11:37,,0.003,
9/20/2016 12:21,,0.006,
9/27/2016 11:11,,0,
4/25/2017 11:50,,0.006,
4/25/2017 12:31,0.005,,
5/9/2017 12:29,,,-0.001
5/9/2017 12:50,,-0.001,
5/24/2017 13:07,,,0.001
5/24/2017 13:55,,0.002,
5/31/2017 11:30,,,0.006
5/31/2017 12:07,,0.004,
6/5/2017 12:00,,0.018,
6/5/2017 12:38,0.005,,
6/12/2017 11:55,,0.016,
6/12/2017 12:25,0.01,,
6/20/2017 11:05,,,0.002
6/20/2017 11:45,,0.006,
6/20/2017 12:25,0.002,,
6/27/2017 10:55,,,0.005
6/27/2017 11:45,,0.003,
6/27/2017 12:30,0.002,,
7/5/2017 11:40,,0.002,
7/5/2017 12:05,0.003,,
7/11/2017 11:20,,,0.003
7/11/2017 11:50,,0.008,
7/11/2017 12:30,0.002,,
7/18/2017 11:50,0.006,,
7/18/2017 12:35,,,0.006
7/18/2017 13:15,,0.009,
7/25/2017 11:20,,,0.004
7/25/2017 11:50,,0.003,
7/25/2017 12:25,0.002,,
8/1/2017 8:45,-0.001,,
8/1/2017 9:20,,0.003,
8/1/2017 9:50,,,0.003
8/8/2017 11:08,,,0.006
8/8/2017 11:40,,0,
8/8/2017 12:11,0.002,,
8/15/2017 10:50,,,0.003
9/12/2017 11:30,,,0.001
9/12/2017 11:55,,0.002,
9/12/2017 12:25,0.004,,
4/24/2018 10:40,,,0.014
4/24/2018 11:30,,0.012,
5/8/2018 10:40,,,0.005
5/8/2018 11:20,,0.005,
5/8/2018 11:50,0.014,,
5/14/2018 10:35,,,0.007
5/14/2018 11:00,,0.007,
5/14/2018 11:30,0.008,,
5/21/2018 10:10,,,0.01
5/21/2018 10:40,,0.01,
5/21/2018 11:00,0.033,,
6/27/2018 11:00,,,0
6/27/2018 11:18,,0.004,
6/27/2018 11:40,0.001,,
7/11/2018 9:55,,,0.003
7/11/2018 10:25,,0.003,
7/11/2018 10:40,0.002,,
7/18/2018 10:05,,,0.003
7/18/2018 10:30,,0.003,
7/18/2018 10:45,0.005,,
7/24/2018 9:55,,,0.003
7/24/2018 10:45,,0.004,
7/24/2018 11:40,0.002,,
7/31/2018 10:45,,,0.003
7/31/2018 11:15,,0.003,
7/31/2018 11:40,0.003,,
8/7/2018 10:05,,,0.001
8/7/2018 10:30,,0.002,
8/7/2018 10:50,0.001,,
8/14/2018 11:00,,,0.007
8/14/2018 11:30,,0.008,
8/14/2018 12:00,0.009,,
8/21/2018 10:55,,0.004,
8/21/2018 11:20,0.004,,
8/29/2018 11:05,,0.002,
8/29/2018 11:30,0.002,,
9/11/2018 11:45,,0.005,
9/11/2018 12:05,0.003,,
9/26/2018 11:45,,0.008,
9/26/2018 12:05,0.006,,
10/2/2018 10:50,,0.003,
10/2/2018 11:05,0.001,,
3/5/2019 11:35,,0.018,
3/5/2019 12:00,0.011,,
4/9/2019 11:05,,,0.004
4/9/2019 11:45,,0.005,
4/9/2019 12:15,0.018,,
