t,Blowout,Heater,Log Boom
4/12/2016 10:16,,,0.002
4/12/2016 10:58,,0.002,
4/26/2016 11:11,,,-0.003
4/26/2016 12:02,,-0.003,
5/3/2016 11:23,,,-0.001
5/3/2016 12:10,,0.003,
5/9/2016 11:10,,,0.001
5/9/2016 12:10,,0.001,
5/17/2016 11:04,,,0.001
5/17/2016 11:54,,0.001,
5/17/2016 12:32,0,,
5/24/2016 9:40,,,-0.001
5/24/2016 10:20,,-0.003,
5/31/2016 11:52,,,0.003
5/31/2016 12:32,,0.001,
6/7/2016 11:22,,,0.004
6/7/2016 12:15,,0.004,
6/7/2016 12:23,,0.004,
6/14/2016 10:17,,,-0.005
6/14/2016 10:51,,-0.005,
6/21/2016 13:04,,,0.004
6/21/2016 13:47,,0.008,
6/28/2016 12:57,,,0.003
6/28/2016 13:40,,0.003,
7/5/2016 11:49,,,-0.001
7/5/2016 12:24,,0.006,
7/12/2016 11:01,,,0.006
7/12/2016 11:55,,0.007,
7/18/2016 13:10,,0.009,
7/26/2016 11:41,,0.016,
8/2/2016 12:23,,0.008,
8/9/2016 0:00,,0.003,
8/17/2016 11:18,,0.005,
8/23/2016 12:07,,0.003,
8/23/2016 12:13,,0.004,
8/29/2016 12:31,,0.001,
9/6/2016 11:18,,-0.002,
9/13/2016 11:37,,0.003,
9/20/2016 12:21,,0.006,
9/27/2016 11:11,,0,
