date,lat,lon,site,Algae
2016-05-17 11:04:00,44.71760227,-122.2448237,Log Bloom,28222.854766340435
2016-05-17 11:54:00,44.69537557,-122.2412653,Heater,1866.123022662489
2016-05-17 12:32:00,44.67544396,-122.1887626,Blowout,344946.00269971625
2016-05-24 09:40:00,44.71760227,-122.2448237,Log Bloom,109051.57487946504
2016-05-24 10:20:00,44.69537557,-122.2412653,Heater,577717.3572487716
2016-06-07 11:22:00,44.71760227,-122.2448237,Log Bloom,448411.8842367637
2016-06-07 11:31:00,44.71760227,-122.2448237,Log Bloom,253.74633175286365
2016-06-14 10:17:00,44.71760227,-122.2448237,Log Bloom,10181.405038362347
2016-06-14 10:31:00,44.69537557,-122.2412653,Heater,2015.918197595745
2016-06-21 13:04:00,44.71760227,-122.2448237,Log Bloom,1363.4636226187208
2016-06-21 13:14:00,44.71760227,-122.2448237,Log Bloom,8314.542610528228
2016-06-28 12:57:00,44.71760227,-122.2448237,Log Bloom,4189.163439964762
2016-06-28 13:05:00,44.71760227,-122.2448237,Log Bloom,260.1262395226499
2016-06-28 13:40:00,44.69537557,-122.2412653,Heater,1040.5049580905995
2016-07-05 11:49:00,44.71760227,-122.2448237,Log Bloom,1822.7686494087127
2016-07-05 12:24:00,44.69537557,-122.2412653,Heater,4356.38146704599
2016-07-12 11:55:00,44.69537557,-122.2412653,Heater,2915.424520253855
2016-07-18 13:10:00,44.69537557,-122.2412653,Heater,9733.78984043088
2016-07-26 10:39:00,44.71760227,-122.2448237,Log Bloom,40.57927448270002
2016-07-26 11:41:00,44.69537557,-122.2412653,Heater,1457.7122601269273
2016-08-02 12:23:00,44.69537557,-122.2412653,Heater,289.5318144252104
2016-08-23 12:07:00,44.69537557,-122.2412653,Heater,48382.036742297874
2016-08-23 12:13:00,44.69537557,-122.2412653,Heater,416.2019832362399
2016-08-29 12:31:00,44.69537557,-122.2412653,Heater,3303.938348204349
2016-09-06 11:18:00,44.69537557,-122.2412653,Heater,31851.50752201277
2017-05-09 12:29:00,44.71760227,-122.2448237,Log Bloom,37160.09210901489
2017-05-09 12:50:00,44.69537557,-122.2412653,Heater,8043.555719500375
2017-05-31 11:30:00,44.71760227,-122.2448237,Log Bloom,1060.87237976043
2017-06-27 10:55:00,44.71760227,-122.2448237,Log Bloom,4354.045491415098
2017-07-11 11:55:00,44.69537557,-122.2412653,Heater,784383.8097640397
2017-07-18 12:35:00,44.71760227,-122.2448237,Log Bloom,5828.490198856762
2017-07-25 11:55:00,44.69537557,-122.2412653,Heater,1171929.6504133884
2017-08-01 08:45:00,44.67544396,-122.1887626,Blowout,52869.0067855664
2017-08-01 09:20:00,44.69537557,-122.2412653,Heater,3648750.402636721
2017-08-01 09:55:00,44.71760227,-122.2448237,Log Bloom,60326.68621255563
2017-08-03 10:10:00,44.71760227,-122.2448237,Log Bloom,363474.421650769
2017-08-03 11:05:00,44.67544396,-122.1887626,Blowout,114683.71530825064
2017-08-08 11:43:00,44.69537557,-122.2412653,Heater,2625827.337016465
2017-08-08 12:15:00,44.67544396,-122.1887626,Blowout,3310.2787092493404
2017-08-10 10:20:00,44.67544396,-122.1887626,Blowout,15447.967309830256
2017-08-10 10:45:00,44.69537557,-122.2412653,Heater,5611643.350611681
2017-08-15 11:20:00,44.69537557,-122.2412653,Heater,133444.95366528287
2017-08-24 11:10:00,44.71760227,-122.2448237,Log Bloom,1755251.0252808046
2017-08-24 11:32:00,44.69537557,-122.2412653,Heater,115716.90193264929
2017-08-24 11:53:00,44.67544396,-122.1887626,Blowout,50809.17535236254
2017-08-29 10:51:00,44.71760227,-122.2448237,Log Bloom,1368451.6840970186
2017-08-29 11:15:00,44.69537557,-122.2412653,Heater,113899.58024415256
2018-05-08 11:50:00,44.67544396,-122.1887626,Blowout,5017005.320278151
2018-05-10 11:20:00,44.67544396,-122.1887626,Blowout,831288.1972635327
2018-05-10 11:35:00,44.69537557,-122.2412653,Heater,93681.7632068646
2018-05-14 10:35:00,44.71760227,-122.2448237,Log Bloom,101429.39170970296
2018-05-14 11:00:00,44.69537557,-122.2412653,Heater,98885544.66651428
2018-05-14 11:30:00,44.67544396,-122.1887626,Blowout,30767678.819199663
2018-05-17 09:42:00,44.71760227,-122.2448237,Log Bloom,285660.47475883825
2018-05-17 09:50:00,44.69537557,-122.2412653,Heater,4067388.9220362417
2018-05-17 10:10:00,44.67544396,-122.1887626,Blowout,4193321.371538846
2018-05-21 10:40:00,44.69537557,-122.2412653,Heater,50281.42591003636
2018-05-21 11:00:00,44.67544396,-122.1887626,Blowout,2761201.94531279
2018-05-23 09:55:00,44.67544396,-122.1887626,Blowout,19546.40761651992
2018-05-23 10:20:00,44.69537557,-122.2412653,Heater,11469.326225540646
2018-05-27 10:00:00,44.71760227,-122.2448237,Log Bloom,1227645.449872024
2018-05-27 10:10:00,44.69537557,-122.2412653,Heater,815693.2475487387
2018-05-27 10:35:00,44.67544396,-122.1887626,Blowout,1915724.0105828764
2018-05-29 10:40:00,44.71760227,-122.2448237,Log Bloom,64099.33087333261
2018-05-30 09:55:00,44.71760227,-122.2448237,Log Bloom,138060.0972656395
2018-05-31 10:30:00,44.71760227,-122.2448237,Log Bloom,1143537.035658177
2018-06-02 10:40:00,44.69537557,-122.2412653,Heater,3395700.7786843795
2018-06-03 10:55:00,44.71760227,-122.2448237,Log Bloom,166658.26027066482
2018-06-03 11:10:00,44.69537557,-122.2412653,Heater,65208.204069865285
2018-06-03 11:30:00,44.67544396,-122.1887626,Blowout,36302.7231781011
2018-06-04 10:40:00,44.71760227,-122.2448237,Log Bloom,1958111.3624283853
2018-06-04 10:40:00,44.71760227,-122.2448237,Log Bloom,1958111.3624283853
2018-06-04 10:50:00,44.71760227,-122.2448237,Log Bloom,191461.3317163012
2018-06-04 11:00:00,44.69537557,-122.2412653,Heater,3587539.746163434
2018-06-04 11:30:00,44.67544396,-122.1887626,Blowout,3214435.612562437
