t,Blowout,Heater,Log Boom
8/27/2013 10:45,,0.15,
8/27/2013 12:00,0.15,,
5/29/2014 10:30,,0.15,
5/29/2014 11:00,0.15,,
6/3/2014 11:30,,0.15,
6/3/2014 11:33,0.15,,
6/5/2014 12:15,0.15,,
6/5/2014 12:30,,0.15,
6/10/2014 12:10,,0.15,
6/17/2014 11:30,,0.15,
6/24/2014 12:05,,0.15,
7/1/2014 11:30,,0.15,
7/8/2014 11:30,,0.15,
7/15/2014 11:20,,0.15,
7/22/2014 10:30,,0.15,
7/29/2014 11:10,,0.15,
8/4/2014 12:00,,0.15,
8/8/2014 12:20,,,0.15
8/12/2014 10:40,,0.15,
8/19/2014 11:15,,0.15,
8/27/2014 11:10,,0.15,
9/2/2014 12:05,,0.15,
9/9/2014 13:30,,0.15,
9/16/2014 11:00,,0.15,
9/24/2014 11:00,,0.15,
9/30/2014 11:23,,0.15,
10/7/2014 11:23,,0.15,
10/14/2014 11:30,,0.15,
10/21/2014 11:43,,0.15,
5/5/2015 11:21,,0.15,
5/12/2015 11:31,,1.22,
5/13/2015 10:30,0.15,,
5/18/2015 11:17,,0.15,
6/2/2015 11:25,,0.58,
6/8/2015 11:56,,0.43,
6/16/2015 11:15,,0.15,
6/23/2015 10:50,,0.15,
9/22/2015 10:51,,0.15,
5/31/2016 12:32,,1.19,
6/2/2016 12:04,,0.15,
6/7/2016 12:15,,0.15,
7/7/2016 0:00,,2.77,
7/12/2016 11:55,,0.77,
8/23/2016 12:07,,0.3,
8/29/2016 12:31,,0.15,
9/13/2016 11:37,,0.15,
5/31/2017 11:30,,,0.15
5/31/2017 12:07,,0.15,
5/31/2017 12:45,0.2,,
6/5/2017 12:00,,0.17,
6/5/2017 12:38,0.15,,
6/7/2017 10:15,,0.15,
6/7/2017 10:45,0.15,,
6/15/2017 10:50,,,0.15
6/15/2017 11:10,,0.15,
6/15/2017 11:39,0.15,,
6/20/2017 11:05,,,0.15
6/20/2017 11:45,,0.15,
6/20/2017 12:25,0.15,,
7/25/2017 0:00,0.05,0.641632972,0.700870182
8/3/2017 0:00,0.05,0.0216676,0.05
8/8/2017 0:00,0.051091293,2.177668999,0.114751029
8/15/2017 0:00,,0.865325593,0.598494657
8/24/2017 11:33,,1.76253,
8/24/2017 11:35,,1.34444,
8/29/2017 11:15,,0.46234,
5/8/2018 11:30,,0.053,
5/14/2018 10:35,,,0
5/14/2018 11:00,,0.109,
5/14/2018 11:30,3.151,,
5/16/2018 10:00,,,0
5/16/2018 10:33,,0.126,
5/16/2018 11:00,1.796,,
5/17/2018 9:42,,,0
5/17/2018 9:50,,0.091,
5/17/2018 10:10,3.949,,
5/21/2018 10:10,,,0.06
5/21/2018 10:40,,11.77,
5/21/2018 11:00,48.21,,
5/23/2018 9:55,0.285,,
5/23/2018 10:20,,0.252,
5/23/2018 10:45,,,0.081
5/25/2018 9:50,,,0
5/25/2018 10:10,,0.236,
