t,Blowout,Heater,Log Boom
5/31/2017 11:30,,,0.15
5/31/2017 12:07,,0.15,
5/31/2017 12:45,0.2,,
6/5/2017 12:00,,0.17,
6/5/2017 12:38,0.15,,
6/7/2017 10:15,,0.15,
6/7/2017 10:45,0.15,,
6/15/2017 10:50,,,0.15
6/15/2017 11:10,,0.15,
6/15/2017 11:39,0.15,,
6/20/2017 11:05,,,0.15
6/20/2017 11:45,,0.15,
6/20/2017 12:25,0.15,,
7/25/2017 0:00,0.05,0.641632972,0.700870182
8/3/2017 0:00,0.05,0.0216676,0.05
8/8/2017 0:00,0.051091293,2.177668999,0.114751029
8/15/2017 0:00,,0.865325593,0.598494657
8/24/2017 11:33,,1.76253,
8/24/2017 11:35,,1.34444,
8/29/2017 11:15,,0.46234,
