date,lat,lon,Precip_mean,Air_Temp_mean,Surf_Radiation_mean,Wind_Velocity_mean,Air_Temp_cumsum,Precip_cumsum,Surf_Radiation_cumsum,Wind_Velocity_cumsum
2010-01-01,44.712500000000006,-122.20416663333334,27.8125,4.2937500000000455,34.3875,11.5875,4.2937500000000455,27.8125,34.3875,11.5875
2010-01-02,44.712500000000006,-122.20416663333334,4.4,2.9125000000000227,42.55,6.0375000000000005,7.206250000000068,32.2125,76.9375,17.625
2010-01-03,44.712500000000006,-122.20416663333334,0.0,4.5,49.7125,2.975,11.706250000000068,32.2125,126.65,20.6
2010-01-04,44.712500000000006,-122.20416663333334,17.15,6.2000000000000455,38.075,8.2375,17.906250000000114,49.3625,164.725,28.837500000000002
2010-01-05,44.712500000000006,-122.20416663333334,41.2875,7.125,23.7375,7.1375,25.031250000000114,90.65,188.4625,35.975
2010-01-06,44.712500000000006,-122.20416663333334,7.375,3.9937499999999773,56.7875,4.6625000000000005,29.02500000000009,98.025,245.25,40.6375
2010-01-07,44.712500000000006,-122.20416663333334,0.0,3.1625000000000227,87.5125,5.300000000000001,32.187500000000114,98.025,332.7625,45.9375
2010-01-08,44.712500000000006,-122.20416663333334,6.575,4.568750000000023,32.800000000000004,6.1000000000000005,36.756250000000136,104.6,365.5625,52.0375
2010-01-09,44.712500000000006,-122.20416663333334,2.6125000000000003,6.1062500000000455,75.3125,5.1625000000000005,42.86250000000018,107.2125,440.875,57.2
2010-01-10,44.712500000000006,-122.20416663333334,0.0,5.84375,89.65,5.6375,48.70625000000018,107.2125,530.525,62.837500000000006
2010-01-11,44.712500000000006,-122.20416663333334,0.875,8.543750000000045,77.3125,8.75,57.25000000000023,108.0875,607.8375,71.5875
2010-01-12,44.712500000000006,-122.20416663333334,11.6625,7.431250000000034,55.212500000000006,7.825,64.68125000000026,119.75,663.05,79.41250000000001
2010-01-13,44.712500000000006,-122.20416663333334,12.175,5.2000000000000455,45.175,9.6,69.8812500000003,131.925,708.225,89.0125
2010-01-14,44.712500000000006,-122.20416663333334,0.925,5.368750000000034,58.4125,7.112500000000001,75.25000000000034,132.85,766.6375,96.125
2010-01-15,44.712500000000006,-122.20416663333334,18.4375,7.3562500000000455,60.125,10.9375,82.60625000000039,151.2875,826.7625,107.0625
2010-01-16,44.712500000000006,-122.20416663333334,13.2,5.1875,63.962500000000006,5.4750000000000005,87.79375000000039,164.4875,890.725,112.53750000000001
2010-01-17,44.712500000000006,-122.20416663333334,13.35,5.268750000000068,44.5625,8.75,93.06250000000045,177.8375,935.2875,121.28750000000001
2010-01-18,44.712500000000006,-122.20416663333334,0.0,5.5437500000000455,82.7,9.6875,98.6062500000005,177.8375,1017.9875,130.97500000000002
2010-01-19,44.712500000000006,-122.20416663333334,0.225,5.900000000000034,75.65,8.137500000000001,104.50625000000053,178.0625,1093.6375,139.1125
2010-01-20,44.712500000000006,-122.20416663333334,0.0375,4.506250000000023,81.42500000000001,5.875,109.01250000000056,178.1,1175.0625,144.9875
2010-01-21,44.712500000000006,-122.20416663333334,0.0,6.0437500000000455,87.42500000000001,5.3375,115.0562500000006,178.1,1262.4875,150.32500000000002
2010-01-22,44.712500000000006,-122.20416663333334,12.675,2.675000000000068,69.5375,4.800000000000001,117.73125000000067,190.775,1332.025,155.125
2010-01-23,44.712500000000006,-122.20416663333334,0.5125,3.2625000000000455,85.47500000000001,3.6375,120.99375000000072,191.2875,1417.5,158.76250000000002
2010-01-24,44.712500000000006,-122.20416663333334,21.975,2.5812500000000114,43.3125,7.800000000000001,123.57500000000073,213.2625,1460.8125,166.5625
2010-01-25,44.712500000000006,-122.20416663333334,8.0,4.725000000000023,63.525000000000006,4.0875,128.30000000000075,221.2625,1524.3375,170.65
2010-01-26,44.712500000000006,-122.20416663333334,1.775,3.525000000000034,66.1375,2.3750000000000004,131.82500000000078,223.0375,1590.4750000000001,173.025
2010-01-27,44.712500000000006,-122.20416663333334,0.0,3.3875000000000455,101.275,3.1750000000000003,135.21250000000083,223.0375,1691.75,176.20000000000002
2010-01-28,44.712500000000006,-122.20416663333334,0.0,5.525000000000034,60.15,4.362500000000001,140.73750000000086,223.0375,1751.9,180.5625
2010-01-29,44.712500000000006,-122.20416663333334,4.325,5.150000000000034,59.3625,2.8000000000000003,145.8875000000009,227.3625,1811.2625,183.3625
2010-01-30,44.712500000000006,-122.20416663333334,3.9250000000000003,4.1875,45.112500000000004,2.4875000000000003,150.0750000000009,231.2875,1856.375,185.85000000000002
2010-01-31,44.712500000000006,-122.20416663333334,1.2625,4.5437500000000455,90.0875,2.9375,154.61875000000094,232.55,1946.4625,188.78750000000002
2010-02-01,44.712500000000006,-122.20416663333334,10.075,3.0874999999999773,56.25,4.7250000000000005,157.70625000000092,242.625,2002.7125,193.51250000000002
2010-02-02,44.712500000000006,-122.20416663333334,1.175,5.243750000000034,121.95,3.6375,162.95000000000095,243.8,2124.6625,197.15
2010-02-03,44.712500000000006,-122.20416663333334,13.1,4.3250000000000455,68.92500000000001,5.3875,167.275000000001,256.9,2193.5875,202.53750000000002
2010-02-04,44.712500000000006,-122.20416663333334,7.9125000000000005,4.774999999999977,69.0625,5.9,172.05000000000098,264.8125,2262.65,208.43750000000003
2010-02-05,44.712500000000006,-122.20416663333334,0.6375,6.381250000000023,124.5125,5.862500000000001,178.431250000001,265.45,2387.1625,214.3
2010-02-06,44.712500000000006,-122.20416663333334,4.0625,4.1687500000000455,69.4375,2.525,182.60000000000105,269.5125,2456.6,216.82500000000002
2010-02-07,44.712500000000006,-122.20416663333334,1.2875,4.862500000000011,54.025000000000006,1.7375,187.46250000000106,270.8,2510.625,218.56250000000003
2010-02-08,44.712500000000006,-122.20416663333334,0.0,4.556250000000034,120.5625,1.6,192.0187500000011,270.8,2631.1875,220.16250000000002
2010-02-09,44.712500000000006,-122.20416663333334,0.0,4.268750000000011,138.1125,1.975,196.2875000000011,270.8,2769.3,222.13750000000002
2010-02-10,44.712500000000006,-122.20416663333334,10.925,1.7062500000000682,57.050000000000004,6.237500000000001,197.99375000000117,281.725,2826.35,228.37500000000003
2010-02-11,44.712500000000006,-122.20416663333334,16.725,5.59375,54.3125,10.5875,203.58750000000117,298.45,2880.6625,238.9625
2010-02-12,44.712500000000006,-122.20416663333334,8.725,5.050000000000011,63.987500000000004,10.525,208.63750000000118,307.175,2944.65,249.4875
2010-02-13,44.712500000000006,-122.20416663333334,3.25,6.456250000000068,64.9875,6.687500000000001,215.09375000000125,310.425,3009.6375000000003,256.175
2010-02-14,44.712500000000006,-122.20416663333334,8.65,5.850000000000023,50.125,5.1625000000000005,220.94375000000127,319.075,3059.7625000000003,261.33750000000003
2010-02-15,44.712500000000006,-122.20416663333334,4.8875,7.15625,127.2,4.5875,228.10000000000127,323.9625,3186.9625,265.925
2010-02-16,44.712500000000006,-122.20416663333334,4.7250000000000005,7.59375,122.875,3.8249999999999997,235.69375000000127,328.6875,3309.8375,269.75
2010-02-17,44.712500000000006,-122.20416663333334,0.0,6.90625,156.675,2.625,242.60000000000127,328.6875,3466.5125000000003,272.375
2010-02-18,44.712500000000006,-122.20416663333334,0.0,5.3125,159.60000000000002,5.95,247.91250000000127,328.6875,3626.1125,278.32500000000005
2010-02-19,44.712500000000006,-122.20416663333334,0.0,4.768750000000011,162.13750000000002,4.625,252.68125000000128,328.6875,3788.25,282.95000000000005
2010-02-20,44.712500000000006,-122.20416663333334,0.0,3.7312500000000455,163.775,5.6000000000000005,256.41250000000133,328.6875,3952.025,288.55
2010-02-21,44.712500000000006,-122.20416663333334,0.0,3.2000000000000455,168.8375,4.487500000000001,259.6125000000014,328.6875,4120.8625,293.0375
2010-02-22,44.712500000000006,-122.20416663333334,0.0,4.350000000000023,172.275,3.9375,263.9625000000014,328.6875,4293.1375,296.975
2010-02-23,44.712500000000006,-122.20416663333334,14.4125,4.381250000000023,77.8,4.800000000000001,268.3437500000014,343.1,4370.9375,301.77500000000003
2010-02-24,44.712500000000006,-122.20416663333334,19.3625,4.506250000000023,68.7125,7.425000000000001,272.85000000000144,362.4625,4439.650000000001,309.20000000000005
2010-02-25,44.712500000000006,-122.20416663333334,4.0125,6.162500000000023,152.2625,6.0,279.01250000000147,366.475,4591.9125,315.20000000000005
2010-02-26,44.712500000000006,-122.20416663333334,9.012500000000001,6.34375,78.16250000000001,6.6000000000000005,285.35625000000147,375.4875,4670.075,321.8
2010-02-27,44.712500000000006,-122.20416663333334,0.0,6.3875000000000455,171.38750000000002,5.0125,291.7437500000015,375.4875,4841.462500000001,326.8125
2010-02-28,44.712500000000006,-122.20416663333334,0.0,7.568750000000023,152.8625,1.9124999999999999,299.31250000000153,375.4875,4994.325,328.725
2010-03-01,44.712500000000006,-122.20416663333334,0.0,8.368750000000034,162.72500000000002,2.6,307.68125000000157,375.4875,5157.05,331.32500000000005
2010-03-02,44.712500000000006,-122.20416663333334,3.5625,6.162500000000023,142.70000000000002,3.8,313.8437500000016,379.05,5299.75,335.125
2010-03-03,44.712500000000006,-122.20416663333334,3.9125,4.46875,138.2125,3.325,318.3125000000016,382.96250000000003,5437.962500000001,338.45000000000005
2010-03-04,44.712500000000006,-122.20416663333334,1.3375,4.643750000000011,154.78750000000002,2.6125000000000003,322.9562500000016,384.3,5592.75,341.0625
